strategy_version,signal_date,code,name,rank,push_level,emotion_score,is_pushed,capture_type,snapshot_time,reasons,risks,price_date,signal_close,latest_price_date,observed_days,latest_return_pct,tail_next_open_pct,tail_next_close_pct,tail_next_max_gain_pct,tail_next_max_drawdown_pct,settled_tail_next_day,return_1d_pct,max_gain_1d_pct,max_drawdown_1d_pct,settled_1d,return_3d_pct,max_gain_3d_pct,max_drawdown_3d_pct,settled_3d,return_5d_pct,max_gain_5d_pct,max_drawdown_5d_pct,settled_5d,return_10d_pct,max_gain_10d_pct,max_drawdown_10d_pct,settled_10d
v1,2026-04-10,600105,永鼎股份,1,强推观察,91.0,True,post_close,2026-04-10 15:00:00,人气Top3；当日涨停附近；收在日内高位；温和放量；近5日强势延续；首次上榜即强势,短线涨幅偏高；偏离20日线较大,2026-04-10,38.1,2026-05-27,30,27.3,-0.6,1.57,3.96,-3.67,True,1.57,3.96,-3.67,True,-1.47,5.7,-3.67,True,8.4,11.55,-4.44,True,28.64,33.86,-4.44,True
v1,2026-04-10,002580,圣阳股份,2,强推观察,108.0,True,post_close,2026-04-10 15:00:00,人气Top3；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；首次上榜即强势,-,2026-04-10,18.98,2026-05-27,30,21.34,2.48,10.01,10.01,1.95,True,10.01,10.01,1.95,True,33.14,33.14,1.95,True,61.12,61.12,1.95,True,45.94,77.24,1.95,True
v1,2026-04-10,002475,立讯精密,3,普通观察,68.0,True,post_close,2026-04-10 15:00:00,人气Top3；当日上涨；收盘承接较强；近5日趋势升温；站上20日线且不过热,-,2026-04-10,58.18,2026-05-27,30,23.05,-0.69,0.72,2.3,-1.17,True,0.72,2.3,-1.17,True,1.03,4.81,-1.17,True,2.7,4.81,-1.17,True,13.44,21.49,-1.17,True
v1,2026-04-10,002328,新朋股份,4,重点观察,85.0,True,post_close,2026-04-10 15:00:00,人气Top10；当日涨停附近；收在日内高位；温和放量；近5日强势延续；首次上榜即强势,短线涨幅偏高；偏离20日线较大,2026-04-10,10.11,2026-05-27,30,-4.25,9.99,6.43,9.99,0.89,True,6.43,9.99,0.89,True,23.64,28.59,0.89,True,28.59,34.32,0.89,True,10.78,34.32,0.89,True
v1,2026-04-10,002384,东山精密,5,不推送,59.0,False,post_close,2026-04-10 15:00:00,人气Top10；当日强涨；收盘承接较强；近5日强势延续；首次上榜即强势,短线涨幅偏高；偏离20日线较大,2026-04-10,143.55,2026-05-27,30,55.6,0.04,2.28,4.27,0.04,True,2.28,4.27,0.04,True,1.57,5.19,-0.03,True,12.92,14.56,-0.03,True,30.9,36.54,-0.03,True
v1,2026-04-10,300308,中际旭创,6,普通观察,69.0,True,post_close,2026-04-10 15:00:00,人气Top10；当日上涨；收盘承接较强；温和放量；近5日强势延续；站上20日线且不过热,短线涨幅偏高,2026-04-10,734.65,2026-05-27,30,51.28,0.43,0.32,1.14,-2.92,True,0.32,1.14,-2.92,True,6.03,9.96,-2.92,True,15.7,17.61,-2.92,True,20.6,25.09,-2.92,True
v1,2026-04-10,603538,美诺华,7,重点观察,86.0,True,post_close,2026-04-10 15:00:00,人气Top10；当日强涨；收在日内高位；温和放量；近5日趋势升温；首次上榜即强势,偏离20日线较大,2026-04-10,49.59,2026-05-27,30,-6.31,-0.18,-3.07,1.23,-5.69,True,-3.07,1.23,-5.69,True,11.92,13.05,-5.69,True,5.87,15.53,-5.69,True,16.11,19.78,-5.69,True
v1,2026-04-10,601869,长飞光纤,8,不推送,38.0,False,post_close,2026-04-10 15:00:00,人气Top10；温和放量；近5日趋势升温,当日转弱；偏离20日线较大,2026-04-10,384.38,2026-05-27,30,-4.76,-3.22,-3.95,-2.21,-6.34,True,-3.95,-2.21,-6.34,True,-6.7,-1.98,-8.42,True,-4.81,-1.98,-9.98,True,-4.22,10.02,-9.98,True
v1,2026-04-10,001309,德明利,9,强推观察,102.0,True,post_close,2026-04-10 15:00:00,人气Top10；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；首次上榜即强势,-,2026-04-10,447.24,2026-05-27,30,48.69,0.65,7.66,9.23,0.65,True,7.66,9.23,0.65,True,12.07,16.27,0.65,True,14.86,18.5,0.65,True,9.53,21.84,0.65,True
v1,2026-04-10,002263,大东南,10,强推观察,90.0,True,post_close,2026-04-10 15:00:00,人气Top10；当日涨停附近；收在日内高位；温和放量；站上20日线且不过热；首次上榜即强势,-,2026-04-10,4.9,2026-05-27,30,-27.14,-2.04,1.84,5.51,-2.86,True,1.84,5.51,-2.86,True,-4.08,5.51,-5.1,True,1.63,9.18,-5.1,True,-11.22,9.18,-15.92,True
